cycle_count,throughput,energy_efficiency,power_efficiency,layer,arch,subarch,arch_dim,model,cycle_count_baseline
17448304640.0,0.9923076923076922,1.1729529576024484,1.1820456161885142,projection,mugi,,128x8,llama_2_7b,17314086912.0
34882912256.0,0.9868037146491191,1.2618160045166547,1.278689962132259,attention,mugi,,128x8,llama_2_7b,34422587392.00008
35169239040.0,0.9923076923076922,1.1993683624528402,1.208665791619141,ffn,mugi,,128x8,llama_2_7b,34898706432.0
27262976000.0,0.9923076923076922,0.7698137566078843,1.2121582892323757,projection,mugi,,128x8,llama_2_13b,17314086912.0
43603640320.0,0.986803714649119,1.0317486908834692,1.3069325180468274,attention,mugi,,128x8,llama_2_13b,34422587392.00008
55207526400.0,0.9923076923076922,0.770558697482423,1.2189746836863642,ffn,mugi,,128x8,llama_2_13b,34898706432.0
69793218560.0,0.9923076923076922,0.2932639014058043,1.1821490599303737,projection,mugi,,128x8,llama_2_70b,17314086912.0
69765824512.0,0.9868037146491191,0.6309080023143319,1.2786899622457661,attention,mugi,,128x8,llama_2_70b,34422587392.00008
183207198720.0,0.9923076923076922,0.23025950076769133,1.2087897354164725,ffn,mugi,,128x8,llama_2_70b,34898706432.0
39258685440.0,0.9923076923076923,0.5227816843924058,1.1853770750758037,projection,mugi,,128x8,llama_2_70b_GQA,17314086912.0
8726233088.0,7.8894494439615155,24.633071756470684,6.24456039206247,attention,mugi,,128x8,llama_2_70b_GQA,34422587392.00008
183207198720.0,0.9923076923076922,0.23025950076769133,1.2087897354164725,ffn,mugi,,128x8,llama_2_70b_GQA,34898706432.0
8724152320.0,1.9846153846153844,2.6627621021720835,1.3417018344277944,projection,mugi,,256x8,llama_2_7b,17314086912.0
26292977664.000023,1.3091931934027774,1.5181007094794499,1.1595696625443739,attention,mugi,,256x8,llama_2_7b,34422587392.00008
17584619520.0,1.9846153846153844,2.7326817229581772,1.3769326511029578,ffn,mugi,,256x8,llama_2_7b,34898706432.0
13631488000.0,1.9846153846153844,1.7572481335843142,1.3834923532337742,projection,mugi,,256x8,llama_2_13b,17314086912.0
32866222080.000023,1.3091931934027774,1.24041626488265,1.184332716452101,attention,mugi,,256x8,llama_2_13b,34422587392.00008
27603763200.0,1.9846153846153844,1.7589702419591007,1.3912893341618093,ffn,mugi,,256x8,llama_2_13b,34898706432.0
34896609280.0,1.9846153846153844,0.6657607365726332,1.3418433450301135,projection,mugi,,256x8,llama_2_70b,17314086912.0
52585955328.000046,1.3091931934027774,0.7590503548551408,1.15956966272069,attention,mugi,,256x8,llama_2_70b,34422587392.00008
91603599360.0,1.9846153846153844,0.5246412707826787,1.3771005773563736,ffn,mugi,,256x8,llama_2_70b,34898706432.0
19629342720.0,1.9846153846153847,1.1875100959787892,1.3463050506736276,projection,mugi,,256x8,llama_2_70b_GQA,17314086912.0
6578749440.000006,10.464781401372251,30.776705252030848,5.881958556343105,attention,mugi,,256x8,llama_2_70b_GQA,34422587392.00008
91603599360.0,1.9846153846153844,0.5246412707826787,1.3771005773563736,ffn,mugi,,256x8,llama_2_70b_GQA,34898706432.0
17448304640.0,0.9923076923076922,1.0012149526198422,1.0089763088417014,projection,carat,,128x8,llama_2_7b,17314086912.0
34882912256.0,0.9868037146491191,1.0617505541589998,1.0759490853117932,attention,carat,,128x8,llama_2_7b,34422587392.00008
35169239040.0,0.9923076923076922,1.0218664732830272,1.029787918812353,ffn,carat,,128x8,llama_2_7b,34898706432.0
27262976000.0,0.9923076923076922,0.6552660749510218,1.0317900889490412,projection,carat,,128x8,llama_2_13b,17314086912.0
43603640320.0,0.986803714649119,0.8657744940136981,1.0966903564017594,attention,carat,,128x8,llama_2_13b,34422587392.00008
55207526400.0,0.9923076923076922,0.6558946278927854,1.037583443259274,ffn,carat,,128x8,llama_2_13b,34898706432.0
69793218560.0,0.9923076923076922,0.25032408615059915,1.009058331769857,projection,carat,,128x8,llama_2_70b,17314086912.0
69765824512.0,0.9868037146491191,0.5308752770794999,1.0759490853117932,attention,carat,,128x8,llama_2_70b,34422587392.00008
183207198720.0,0.9923076923076922,0.19618008203657442,1.0298835386524332,ffn,carat,,128x8,llama_2_70b,34898706432.0
39258685440.0,0.9923076923076923,0.44610232509062164,1.0115110859612932,projection,carat,,128x8,llama_2_70b_GQA,17314086912.0
8726233088.0,7.8894494439615155,21.007635488634115,5.325501009379835,attention,carat,,128x8,llama_2_70b_GQA,34422587392.00008
183207198720.0,0.9923076923076922,0.19618008203657442,1.0298835386524332,ffn,carat,,128x8,llama_2_70b_GQA,34898706432.0
8724152320.0,1.9846153846153844,1.990062624207446,1.002744733127783,projection,carat,,256x8,llama_2_7b,17314086912.0
26292977664.000023,1.3091931934027774,1.165191840583909,0.8900075607293766,attention,carat,,256x8,llama_2_7b,34422587392.00008
17584619520.0,1.9846153846153844,2.0296840278860473,1.0227090062991713,ffn,carat,,256x8,llama_2_7b,34898706432.0
13631488000.0,1.9846153846153844,1.3010585331946947,1.0243314517642341,projection,carat,,256x8,llama_2_13b,17314086912.0
32866222080.000023,1.3091931934027774,0.9473346094386638,0.9045023055157425,attention,carat,,256x8,llama_2_13b,34422587392.00008
27603763200.0,1.9846153846153844,1.3023030256596417,1.03008013792711,ffn,carat,,256x8,llama_2_13b,34898706432.0
34896609280.0,1.9846153846153844,0.49755258998075147,1.0028191736046155,projection,carat,,256x8,llama_2_70b,17314086912.0
52585955328.000046,1.3091931934027774,0.5825959202919545,0.8900075607293766,attention,carat,,256x8,llama_2_70b,34422587392.00008
91603599360.0,1.9846153846153844,0.38966065157973206,1.0227977441862088,ffn,carat,,256x8,llama_2_70b,34898706432.0
19629342720.0,1.9846153846153851,0.8865860338255795,1.0051411429999302,projection,carat,,256x8,llama_2_70b_GQA,17314086912.0
6578749440.000006,10.464781401372251,23.016511758087276,4.398851896718858,attention,carat,,256x8,llama_2_70b_GQA,34422587392.00008
91603599360.0,1.9846153846153844,0.38966065157973206,1.0227977441862088,ffn,carat,,256x8,llama_2_70b_GQA,34898706432.0
17314086912.0,1.0,1.0,1.0,projection,systolic,mac,16x16,llama_2_7b,17314086912.0
34422587392.00008,1.0,1.0,1.0,attention,systolic,mac,16x16,llama_2_7b,34422587392.00008
34898706432.0,1.0,1.0,1.0,ffn,systolic,mac,16x16,llama_2_7b,34898706432.0
27053260800.0,1.0000000000000002,0.6346638092378538,0.9916622019341462,projection,systolic,mac,16x16,llama_2_13b,17314086912.0
43028234240.0001,1.0,0.8135314657957077,1.0169143322446343,attention,systolic,mac,16x16,llama_2_13b,34422587392.00008
54782853120.0,1.0000000000000002,0.6353007596145706,0.9972744482321745,ffn,systolic,mac,16x16,llama_2_13b,34898706432.0
69256347648.0,1.0,0.25001850837489314,1.0000740334995724,projection,systolic,mac,16x16,llama_2_70b,17314086912.0
68845174784.00015,1.0,0.4999999988143665,0.999999997628733,attention,systolic,mac,16x16,llama_2_70b,34422587392.00008
181797912576.0,1.0,0.19198740751409374,1.0001204484455117,ffn,systolic,mac,16x16,llama_2_70b,34898706432.0
38956695552.0,1.0000000000000002,0.4440335629057669,0.9990755165379753,projection,systolic,mac,16x16,llama_2_70b_GQA,17314086912.0
8607481856.00002,7.998294499570769,20.767799611881372,5.19305699808775,attention,systolic,mac,16x16,llama_2_70b_GQA,34422587392.00008
181797912576.0,1.0,0.19198740751409374,1.0001204484455117,ffn,systolic,mac,16x16,llama_2_70b_GQA,34898706432.0
17314086912.0,1.0,0.8779385140629151,0.877938514062915,projection,systolic,figna,16x16,llama_2_7b,17314086912.0
34422587392.00008,1.0,0.854874436529968,0.854874436529968,attention,systolic,figna,16x16,llama_2_7b,34422587392.00008
34898706432.0,1.0,0.8785304853628475,0.8785304853628477,ffn,systolic,figna,16x16,llama_2_7b,34898706432.0
27053260800.0,1.0000000000000002,0.5577634537292708,0.8715053964519855,projection,systolic,figna,16x16,llama_2_13b,17314086912.0
43028234240.0001,1.0,0.6937642688847726,0.8672053361059655,attention,systolic,figna,16x16,llama_2_13b,34422587392.00008
54782853120.0,1.0000000000000002,0.5583159273591686,0.8764261650405554,ffn,systolic,figna,16x16,llama_2_13b,34898706432.0
69256347648.0,1.0,0.21949889419861965,0.8779955767944786,projection,systolic,figna,16x16,llama_2_70b,17314086912.0
68845174784.00015,1.0,0.4274372173985656,0.8548744347971312,attention,systolic,figna,16x16,llama_2_70b,34422587392.00008
181797912576.0,1.0,0.16866432227396372,0.8786234462643693,ffn,systolic,figna,16x16,llama_2_70b,34898706432.0
38956695552.0,1.0000000000000002,0.38987816287073185,0.8772258664591466,projection,systolic,figna,16x16,llama_2_70b_GQA,17314086912.0
8607481856.00002,7.998294499570769,18.25672501527835,4.565154487936922,attention,systolic,figna,16x16,llama_2_70b_GQA,34422587392.00008
181797912576.0,1.0,0.16866432227396372,0.8786234462643693,ffn,systolic,figna,16x16,llama_2_70b_GQA,34898706432.0
17314086912.0,1.0,1.0489349164532804,1.0489349164532806,projection,simd,mac,16x16,llama_2_7b,17314086912.0
34422587392.00008,1.0,1.0274768933775134,1.0274768933775131,attention,simd,mac,16x16,llama_2_7b,34422587392.00008
34898706432.0,1.0,1.0488927804892836,1.0488927804892836,ffn,simd,mac,16x16,llama_2_7b,34898706432.0
27053260800.0,1.0000000000000002,0.6656783995031098,1.0401224992236089,projection,simd,mac,16x16,llama_2_13b,17314086912.0
43028234240.0001,1.0,0.8364939622587838,1.0456174528234794,attention,simd,mac,16x16,llama_2_13b,34422587392.00008
54782853120.0,1.0000000000000002,0.666349988992199,1.0460145176040334,ffn,simd,mac,16x16,llama_2_13b,34898706432.0
69256347648.0,1.0,0.26225409329418387,1.0490163731767355,projection,simd,mac,16x16,llama_2_70b,17314086912.0
68845174784.00015,1.0,0.513738445437073,1.027476890874146,attention,simd,mac,16x16,llama_2_70b,34422587392.00008
181797912576.0,1.0,0.20137539159803114,1.049025295766488,ffn,simd,mac,16x16,llama_2_70b,34898706432.0
38956695552.0,1.0000000000000002,0.4657590322947499,1.0479578226631874,projection,simd,mac,16x16,llama_2_70b_GQA,17314086912.0
8607481856.00002,7.998294499570769,21.771598194818193,5.444060154570845,attention,simd,mac,16x16,llama_2_70b_GQA,34422587392.00008
181797912576.0,1.0,0.20137539159803114,1.049025295766488,ffn,simd,mac,16x16,llama_2_70b_GQA,34898706432.0
17314086912.0,1.0,0.9154324212339076,0.9154324212339074,projection,simd,figna,16x16,llama_2_7b,17314086912.0
34422587392.00008,1.0,0.8748750787300836,0.8748750787300835,attention,simd,figna,16x16,llama_2_7b,34422587392.00008
34898706432.0,1.0,0.9160439149260583,0.9160439149260585,ffn,simd,figna,16x16,llama_2_7b,34898706432.0
27053260800.0,1.0000000000000002,0.5815764884225695,0.9087132631602648,projection,simd,figna,16x16,llama_2_13b,17314086912.0
43028234240.0001,1.0,0.7103943106413522,0.8879928883016901,attention,simd,figna,16x16,llama_2_13b,34422587392.00008
54782853120.0,1.0000000000000002,0.5821549054750599,0.9138478167341058,ffn,simd,figna,16x16,llama_2_13b,34898706432.0
69256347648.0,1.0,0.22887361553524888,0.9154944621409954,projection,simd,figna,16x16,llama_2_70b,17314086912.0
68845174784.00015,1.0,0.4374375384576077,0.8748750769152154,attention,simd,figna,16x16,llama_2_70b,34422587392.00008
181797912576.0,1.0,0.17586711759465953,0.9161449846791568,ffn,simd,figna,16x16,llama_2_70b,34898706432.0
38956695552.0,1.0,0.4065280587357124,0.9146881321553529,projection,simd,figna,16x16,llama_2_70b_GQA,17314086912.0
8607481856.00002,7.998294499570769,19.027949200772735,4.758001646924573,attention,simd,figna,16x16,llama_2_70b_GQA,34422587392.00008
181797912576.0,1.0,0.17586711759465953,0.9161449846791568,ffn,simd,figna,16x16,llama_2_70b_GQA,34898706432.0
